,0,1,2,3,4,5,6,7,8,9
0,友讯达,星云股份,金银河,天奈科技,大烨智能,杭州柯林,迦南智能,安科瑞,宝胜股份,科林电气
1,0.05,0.61,0.07,1.2,0.18,0.17,0.49,0.93,1.93,0.79
